Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
HELSINKI OUTLET,2020,"Finland, Helsinki",Moment Magnet,"['#Finland', '#2020', '#Branded Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/271/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/271,Fortus As,"L.a.B arkkitehdit Oy, Finland","Lighting Design Collective Oy, Finland","Alupro Oy, Finland","Lighting Design Collective Oy, Finland","Audico Oy, Finland",,Schnick Schnack Systems,"Audico Oy, Finland & Skandal Technologies, Spain","Skandal Technologies, Spain",We had existing grey Paroc panels as a facade. Lots of prototypes and planning were done in creating the right V-shaped profile that acts a dual identity both in the day and nighttime.,,Low resolution with indirect reflective lighting technology,,,"Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy, Ms. Leza Jarkas, Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy, Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy, Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy, Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy, Ms. Leza Jarkas, Inspiroiva Creative/Aatu Heikkonen, in cooperation with Audico Systems Oy",,,,,,,,,,,,,,"Alupro Oy, Finland",RGB Pixel Controlled Linear Light with 50mm pixel pitch.,,"Alupro Oy, Finland"
FUTURE VISION LAB,2020,"Taiwan, Taipei",FUTURE VISION LAB,"['#Taiwan', '#2020', '#Future trends & prototypes', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/272/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/272,Taiwan Contemporary Culture Lab (C-LAB),National Yangming Jiaotong University,"Escher TSAI, Monique CHIANG, Chi-Hung TSAI, Che-Min HSIEH, Ping-Yi CHEN",,,,"Alpha Doggo, Chi-Hung TSAI X Blaire KO, fuse*, Funique VR, Hsu-Tai LEE, Ingrid LIN X Prem Sajeev, Keith LAM, NANONANO X HUANG WEI, NAXS Corp., Orange Silver Lin, Perception+, Seth, Ting-Hao YEH X Tsung-Yun LAI, Tim WEI, Yea CHEN X Hao LUO, Zito HSU",,"Chi-Hung TSAI, Chia-Hsiang LEE, Tim WEI, Tzu-Hung LIAO, Ting-Yu HSU",,"The form of the future dome is a biomimicry design. The primitive shape was a Cuboctahedron projected on a sphere, standing for a spherical cell mass; then, the cell mass further divides and fuses in an orderly way. Consequently, the composition of these cells essentially emerges characteristics of neatness and directionlessness while it shows an orderly logic of separation and harmonious form, providing the necessary strength of the dome structure and organization of the construction process that makes the dome structure possible to come true.",,,,,"Taiwan Contemporary Culture Lab (C-LAB), Taiwan Contemporary Culture Lab (C-LAB), Taiwan Contemporary Culture Lab (C-LAB), Taiwan Contemporary Culture Lab (C-LAB), Taiwan Contemporary Culture Lab (C-LAB), Taiwan Contemporary Culture Lab (C-LAB)",Chi-Hung TSAI,"National Center for High-Performance Computing, Optoma",,,,,,,,,"June-Hao HOU, Chi Li CHENG",FabCraft Design Lab,,,,"10,000 luminance by each project.",
AUKIO,2019,"Finland, Helsinki",Immersive and interactive digital nature experience in the airport,"['#Finland', '#2019', '#More than Human Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/273/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/273,Finavia - Helsinki Airport,PES-Architects,"The installation is a collaborative effort by OiOi Collective with Granlund Oy, based on a concept by Davidsson Tarkela Architects and Rune & Berg Design Oy.","Granlund, Studiotec",Granlund,"Granlund, Studiotec","OiOi, Flatlight Creative",Studiotec,Christie Pandora's Box & custom software,OiOi,"Aukio is a 400m2 sized triangular shaped plaza with a wavy, experiential 75 m long LED surface surrounding it.",75 m long curved LED surface consisting of 4 mm RGB LED cabinets. 10 WUXGA projectors. Theatrical lighting setup consists of moving heads and Fresnel LED-lighting fixtures attached to truss structure.,19320x540 px LED + 10 * 1920x1200 px projector,"Aukio (plaza) is situated in the middle of the busy non-Schengen part of the Helsinki Airport. After a long flight the passengers venture through the security check process and arrive at the plaza, Aukio, to discover the magic of the forest. Aukio is a triangular shaped 2 stories high open space. One of the three sides of the Aukio is combined of a double-height diagonal birch-panelled wall with doors through which the passengers arrive from the security check. The two other sides of the Aukio are open to the busy corridors leading to the shops and departure gates.","Aukio presents all four seasons of the Finnish year cycle with different day times: altogether 16 different landscapes. Passengers can experience the magical polar night with northern lights, the blooming nature of a spring dawn, bright summer days and colourful autumn evenings. When stepping into the plaza, the space reacts with nature-imitating audio-visual gestures. By touching birch-panelled walls, passengers have the opportunity to interact with the landscape by creating animations, for example, the Northern Lights and flying autumn leaves. It creates a profound connection to the surrounding landscape as well as magical moments for kids and playful minded. Visitors can also explore facts about different landscapes, phenomenons of nature and Finns and their relationship with nature.","Finavia, Finavia, Flatlight Creative, Flatlight Creative, Finavia, Finavia, Rune & Berg, Flatlight Creative",Granlund,,,,,,,,,,"Architects Davidsson Tarkela, Rune & Berg",Studiotec,,,4 mm,,
MEDIA ARCHITECTURE CLUSTER REAL-SCENE SIMULATION AND DESIGN PROTOTYPE,2018,"China, Beijing",Media architecture cluster Real-scene simulation and design prototype,"['#China', '#2018', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/276/2_big.jpg,https://awards.mediaarchitecture.org/mab/project/276,The Central Academy of Fine Arts (CAFA) Visual Art Innovation Institute (VAII),Chang Zhigang ; Ye Jun,Chang Zhigang,,,,,,Ye Jun,,,,,,"the optimal viewing point of media architecture (Video 1) and distortion correction of visual graphics (Video 2) can be solved through video servo software (HACOOS) and interactive prototype. In this way, we can avoid the adverse public influence brought by the on-site debugging during the implementation of the project, and simulate the scene from the full perspective of the viewer to show a better visual effect. Media architecture designers, researchers, urban managers, and building owners could browse the test process in real-time on the mobile terminal APP, achieve remote online guidance and collaborative design, and accelerate the progress and development.","CAFA Visual Art Innovation Institute (VAII), CAFA Visual Art Innovation Institute (VAII), CAFA Visual Art Innovation Institute (VAII), CAFA Visual Art Innovation Institute (VAII), CAFA Visual Art Innovation Institute (VAII)",Ai Xiaoqun,,,,,"In china,media architecture mainly refers to the public building going into media,which use a large number of LED point light sources on the facade of public buildings to form a luminance array with these pixels, it becomes a super large screen in urban space environment,displaying dynamic graphics, moving text and natural views, etc., with the characteristics of super large, bright and colorful, large pixel spacing and broad horizon. It provides a brand-new information communication channel that promotes tourism, city image, and effects, also form the night economy and commercial ecology for the city.",video servo software (HACOOS),,,,,,,,,,
VIRTUAL WALLS - TORRECARDENAS,2018,"Spain, Almerí­a",Digital Architecture,"['#Spain', '#2018', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/277/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/277,,Chapman Taylor,Necsum,,,,,Necsum,,Necsum,,,,,,"Necsum, Necsum, Necsum, Necsum, Necsum",,,,,,,,,,,,,,,,,
SPATIAL ANIMACY,2021,"Japan, Tokyo",Interactive Kinetic Origami Surface,"['#Japan', '#2021', '#Spatial media art', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/278/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/278,,Harry Krekoukiotis,Harry Krekoukiotis,,Ana Alipass Fernandez,,,,,Harry Krekoukiotis / Yoichi Kamiyama,"Resch triangular origami tesselation on Triaxial Woven Fabric, animated by distributed mechanical actuators.",,,,,"Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab, Harry Krekoukiotis - KMD Embodied Media - Panasonic Auglab","Kouta Minamizawa, Keio Media Design, Embodied Media",Panasonic Auglab,,,,,,,,,Harry Krekoukiotis,"Harry Krekoukiotis, Lincoln He, Ana Alipass Fernandez",Yoichi Kamiyama,"Sakase Adtech Co., Ltd.",,,
"INTERACTIVE MEDIA SCULPTURE ""THE TREE OF KNOWLEDGE""",2020,"Ukraine, Kyiv",Interactive Media Sculpture,"['#Ukraine', '#2020', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/281/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/281,"DTEK Academy, a corporate university of DTEK energy company",,artist - Valerii Kuznetsov,,"Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",,,,,,"Andrii Shurpenkov, Andrii Shurpenkov, Andrii Shurpenkov, Andrii Shurpenkov, Andrii Shurpenkov, Andrii Shurpenkov, Savchenko Yevhenii, Melnikov Oleh","Expolight, Ukraine",,,,,,,,,"DTEK Academy, a corporate university of DTEK energy company",,,,,,,
LOOM LIGHT,2021,"Netherlands, Eindhoven",Loom Light - a dynamic interactive monument in time,"['#Netherlands', '#2021', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/282/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/282,,,,,,,,,,,,"Light is dynamic and connected to vital feelings; light is both communication and energy. The lighting design goes through a parametric model that generates lighting behaviour. This creates a light image that lives by dynamically adapting to its surroundings. Loom Light means misty light, the haze that you still experience for example when the light beam of the lighthouse shines in the opposite direction. It is not clear. The basic light is the Loom light, a misty white atmosphere. By approaching the work, it becomes more active and an acceleration takes place. By actually walking through the work, a random colour rotates through the work in a spiral form. The visitor adds his or her own energy.",,"The light sculpture, with a diameter of approximately 3.50 meters, extends from 4.50 meters to almost 6 meters high., is located on the city's old energy site, the NRE, in an accessible and open area. It is located at an important traffic junction, for both cars and cyclists and pedestrians. More than 15,000 cyclists (before Covid-19) cross the city here from north to south. The work stands alone. You don't just walk by; you have to make an effort to initiate the exchange of energy. The opening is postponed till September 18, 2021, Liberation Day of the Eindhoven in 1944.",,"Titia Ex, Titia Ex, Titia Ex, Titia Ex",,,,,,,,,,,,,,,,,
INTERACTIVE APPLICATION DOLPHINS CREATOR,2020,"Ukraine, Mariupol",Interactive web application that allows you to launch laser dolphins in the city square,"['#Ukraine', '#2020', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/283/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/283,Mariupol City Council,"Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine",,"Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",,,,"Dolphins can be created and launched in the square, which is located in the heart of the city.",,"Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Ivan Avdeenko, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Interactive application Dolphins Creator","Expolight, Ukraine",,,,,,,,,Mariupol City Council,,,,,,,
ARCHITECTURAL AND DECORATIVE LIGHTING OF FREEDOM SQUARE IN MARIUPOL,2020,"Ukraine, Mariupol",Freedom Square in Mariupol,"['#Ukraine', '#2020', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/284/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/284,"Mariupol City Council, Ukraine","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",,,,,,"Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Lighting of Freedom Square in Mariupol Media","Expolight, Ukraine",,,,,,,,,Mariupol City Council,,,,,,,
INTERACTIVE SCREEN ON THE BOULEVARD OF ARTS,2020,"Ukraine, Dnipro",Interactive attraction on the new boulevard in the center of Dnipro city,"['#Ukraine', '#2020', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/285/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/285,,"Dmytro Volyk, Kseniia Donetska","Mykola Kabluka, Expolight, Ukraine",,"Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine",,,,,,"Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Savchenko Yevhenii, Melnikov Oleh","Mykola Kabluka, Expolight, Ukraine",,,,,,,,,,,,"Mykola Kabluka, Expolight, Ukraine",,,,
LIGHTING FOR BOULEVARD OF ARTS,2020,"Ukraine, Dnipro",Pedestrian Boulevard on Korolenko Street in Dnipro,"['#Ukraine', '#2020', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/286/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/286,,"Dmytro Volyk, Kseniia Donetska",,,"Mykola Kabluka, Expolight, Ukraine",,"Mykola Kabluka, Expolight, Ukraine",,"Mykola Kabluka, Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine",,,,,,"Valeriy Kravchenko, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Savchenko Yevhenii, Melnikov Oleh","Mykola Kabluka, Expolight, Ukraine",,,,,,,,,,,,"Mykola Kabluka, Expolight, Ukraine",,,,
REQUIEM,2020,"Spain, Bilbao","Requiem, an experience of light and sound in honor of the victims of Covid-19.","['#Spain', '#2020', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/287/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/287,,,,,,,,,,,,,,,,"Necsum, Necsum, Necsum, Necsum, Necsum, Necsum, Necsum, Necsum",,,,,,,,,,,,,,,,,
SP_URBAN ARTE CONECTA,2020,"Brazil, Sao Paulo, Belo Horizonte, Rio de Janeiro and Sí£o Josí© dos Campos",Collaborative festival of artistic transmission in residencial urban spaces during quarantine.,"['#Brazil', '#2020', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/288/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/288,Verve Cultural,,Marí­lia Pascullli,,,,Collaborative,,,,In order to adjust to the concrete areas on the sides of buildings (some more vertical and others more horizontal) it was established a blueprint of 1080x1080 pixels.,,"C4 Espacio de Creación Artí­stica Contemporí¡nea 2012, Spain, Cordoba","Brazil was facing the biggest economic, political, environmental and health crisis. The population, prevented from protesting in the streets opted for banging pots and pans as a protest through their windows and balconies. The pandemic pot-banging protests brought people to the windows by appointment, and the Arte Conecta artistic projections began, taking advantage of society gaze on the walls and gables from the nearby buildings. The closure of cultural centers, the absence of nightlife and the intense urban media activist projections, culminated in spontaneous and guerrilla urban media interventions, the SP_Urban Arte Conecta emerged in this context. Until the quarantine, windows were mere membranes of private space with public space. After a few weeks of confinement the windows became spaces of protest, of performance, space of community socialisation like an affective interface.","Through an online collaboration network, visual artists, VJs and illustrators sent works that express a feeling of togetherness, empathy, gratitude and humor. A significant number of visual works expressed messages against the violation of civil rights and abuse of public power. Artists claimed the right to public health service, freedom of expression, and reinforced social and health practices in order to control the Corona Virus dissemination.","Verve Cultural, Verve Cultural, Verve Cultural, Verve Cultural, Verve Cultural, Verve Cultural, Verve Cultural, Verve Cultural + Arte 1 (Band), Verve Cultural","Marí­lia Pasculli , Joí£o Frugiuele",No sponsor - support by On projeíçíµes and Cosmic Eventos,"In Sí£o Paulo urban media projections, the festival broadcast informative content of the 'Cidade Solidária' (solidarity city) volunteer program: an initiative by the Sí£o Paulo City Hall and several Organized Civil Society Entities to help people in extreme vulnerability. More than 2.458.000 'basic food baskets' with personal hygiene and cleaning items were distributed to communities mapped by City Hall social service . The action was carried out during the maintenance of the emergency situation and the state of public calamity resulting from the coronavirus pandemic in Sí£o Paulo city.",,"-Solidarity for inhabitants in situations of vulnerability The SP_Urban Arte Conecta festival also transmit artistic contents with messages to support the SUS (Public Health System), defend freedom , science and civic rights.",,,,,Verve Cultural,,,,,1080x1080 px,"There were a variety of projectors and lens used to broadcast the content program on the concrete areas of residencial buildings, the LUX of projection areas are also diverse considering urban lighting. The Arte Conecta festival used Panasonic PT-RZ120 12.000 lumens laser (support by On projeíçíµes), Panasonic PT-DX100 10.000 lumens, EPSON G7905u 7000 lumens 4K (support by Cosmic eventos), EPSON X41, and projectors of 5.000 and 2.000 lumens.",1080x1080 pixels
MAX CENTER,2020,"Spain, Bilbao",A digital experience in 3Dimensions,"['#Spain', '#2020', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/290/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/290,,,,,,,,,,,,,,,,"Necsum Trison, Necsum Trison, Necsum Trison, Necsum Trison, Necsum Trison",,,,,,,,,,,,,,,,,
NOVARTIS PAVILLON,2022,"Switzerland, Basel",Zero-energy media facade,"['#Switzerland', '#2022', '#Animated Architecture', '#Beyond Commercial Media Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/294/6_big_0Ou4Ic7.jpg,https://awards.mediaarchitecture.org/mab/project/294,Novartis,AMDL CIRCLE and Michele De Lucchi,iart - studio for media architectures,form TL,iart - studio for media architectures,iart - studio for media architectures,"Daniel Canogar, Esther Hunziker, Semiconductor, curated by HEK (House of Electronic Arts)",iart - studio for media architectures,"iart AEPOS, TouchDesigner",iart - studio for media architectures,"The media facade consists of 10,000 diamond-shaped organic solar modules with 30'000 RGBW LEDs. They are mounted on a steel frame, which is attached to the sheet metal facade of the donut-shaped building. The solar modules facing outwards each have two embedded LED units, which are bi-directional in the sense that there is one LED pointing away from the facade and one pointing onto the facade. By combining power generation and light source, we created a zero-energy media facade. This means that the total amount of energy consumed by the facade over a year is (at least) equal to the amount of energy it produces itself.","Organic photovoltaics makes it possible to create media facades that meet both aesthetic and ecological requirements. Because they can be manufactured in a variety of shapes and sizes, are flexible, semi-transparent and extremely light sensitive, organic solar modules are ideal for a curved structure. They are also carbon-based, contain much less grey energy than silicon solar modules and are thus a good choice not only from a design point of view, but also from a sustainability perspective. At the Novartis Pavillon, the electricity generated by the organic solar cells is used to illuminate the building. The LEDs shine both outwards and in the direction of the metal shell beneath - causing their light to reflect and shimmer through the semi-transparent solar modules.","The total resolution of the facade is 240 x 126 px. Each LED forms one pixel and is controlled individually. Half of the LEDs face away from the building, half face towards the building.","The Novartis Pavillon is located in a park within the Novartis Campus in Basel, Switzerland. It is situated right next to the river Rhine and the bridge ""Dreirosenbrücke"". The zero-energy media facade acts as an interface between the inside and the outside, allowing the building to enter into a dialogue with the surrounding urban space. It turns the Novartis Pavillon into a luminous icon that is visible from many locations in Basel.","Every day after sunset, the facade shows the works of three international artists: Daniel Canogar, Esther Hunziker and Semiconductor. They collaborated with scientists to develop artworks inspired by the shapes and colours of cells and molecules, as well as the themes of sustainability and the convergence of art and science. During daytime, the facade displays moving text, using only the white LEDs that face away from the building.","Laurids Jensen, iart - studio for media architectures, Laurids Jensen, iart - studio for media architectures, Laurids Jensen, iart - studio for media architectures, iart - studio for media architectures, iart - studio for media architectures",iart - studio for media architectures,,,,,,,,,,iart - studio for media architectures / AMDL CIRCLE and Michele De Lucchi,iart - studio for media architectures,,iart - studio for media architectures,Pixel distance is approx. 56 cm.,"To keep both energy consumption and light pollution as low as possible, an algorithm was implemented to ensure that the facade is just bright enough for content to be visible. The luminous intensity is constantly adjusted based on the ambient light. The maximum luminance of the facade is 500 nits. The contrast ratio is dynamic, as the LEDs are bi-directional and controlled independently towards the front and back.",ASCA (organic photovoltaic modules)
LIGHT ART INSTALLATION BEACON,2019,Kyiv,"Beacon is a light art installation, based on a 60-meter factory pipe in the territory of the former motorcycle factory in Kyiv, where the first innovative park of Ukraine, UNIT.City.","['#2019', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/295/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/295,UDP,"APA Wojciechowski, PL","Sebastian Kite, GB","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine",,"Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",Factory pipe 63m x 8m x 8m,"xenon searchlighting, LED, aluminium, steel, custom programming",,,,"Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Sebastian Kite, Savchenko Yevhenii, Melnikov Oleh, Sebastian Kite, Sebastian Kite, Savchenko Yevhenii, Melnikov Oleh","Nadim Samman, Darya Koltsova",,,,,,,,,UNIT.City,,,,,,,
ATMOSPHERIC SPACES,2021,"Germany, Weimar",vessel for distant and imaginary realities,"['#Germany', '#2021', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/296/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/296,cgf,,,,,,,,,,,,,,"pictures, illustrations and technical drawings of the built immersive installation","cgf, cgf, cgf, cgf, cgf, cgf, cgf, cgf",,,,,,,,"Arduino, Processing, Raspberry Pi, Laser cuter",,,,,,,,,
STAR HUNTERS,2019,"Greece, Athens",An urban game to recreate the sky,"['#Greece', '#2019', '#Spatial media art', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/297/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/297,,,"Francine Dulong, Vitor Freire, Artemis Psaltoglou, Katerina Bakaliou, Juan Carlos Carvajal B.",,,,,,,"Francine Dulong, Vitor Freire, Artemis Psaltoglou, Katerina Bakaliou, Juan Carlos Carvajal B.",,,,The game is designed to be played in public spaces and involve the audience into the start hunting.,,"Team Members, Team Members, Team Members, Team Members, Team Members",,Trust in Play,,,,,,,,,,,,,,,
CATHOLIC СHURCH OF ST. NICHOLAS,2019,"Ukraine, Kyiv",The Catholic church of St. Nicholas in Kyiv is a piece of architectural heritage,"['#Ukraine', '#2019', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/298/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/298,"MacPaw, Ring Ukraine, SD Capital, Toronto-Kyiv",,"Mykola Kabluka, Ukraine","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine",,"Expolight, Ukraine","Expolight, Ukraine",,Historical facade of architectural heritage,,,The Church of St. Nicholas is located in the center of Kyiv.,,"Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Andrii Bezuglov, Savchenko Yevhenii, Melnikov Oleh",,"MacPaw, Ring Ukraine, SD Capital, Toronto-Kyiv",,,,,,,,Latin Church in Ukraine (LCiU),,,,,,,
OPTICAL FOOTPRINT,2021,"Germany, Weimar",Immersive experience in negative after-images,"['#Germany', '#2021', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/299/3_big.jpg,https://awards.mediaarchitecture.org/mab/project/299,,,,,,,,,"Resolume, Arduino",,,,,,,"Chanadda Janthivanont, Chanadda Janthivanont, Chanadda Janthivanont, Chanadda Janthivanont, Chanadda Janthivanont, Chanadda Janthivanont",,,,,,,,,,,,,,,,,
SPECTATOR AND SPECTACLE,2021,"France, Paris",Architecture's role as the opposing force,"['#France', '#2021', '#Future trends & prototypes', '#Participatory Media Architecture and Infrastructures']",https://awards.b-cdn.net/site_media/media/jurysys/media/300/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/300,Delaney Inamine,Delaney Inamine,Delaney Inamine,Delaney Inamine,,,,,,,"This project proposes an infrastructure that climbs up the height of the Haussmannian facades - allowing for inhabitants and the public to build upon the scaffolding to create networks, social spaces and extensions of their public and private lives. The project develops and shifts over time according to the needs of the inhabitants and the community at large. The North and South facades would be developed differently according to the level of sunlight. The North Facade would use more transparent materials and would leave space between the windows and the platforms to allow for sunlight whereas the South facing facade - which receives more direct light - wouldn't require this.",,,"The proposal requires the restructuring of real estate practice in Paris. Property laws would shift to allow for the purchase of air space, rather than just square footage on the ground. Air space would be parceled out to allow for development on top of and between buildings. The project also has a major effect on the street - allowing for additional dining, commercial and circulation space. The level of community is brought up to the levels we live on.","This pandemic will end. We will adapt the way we communicate, connect and circulate once again. But, the need for a solidified new network of connection will still be necessary. We must rethink our use of the ground - shouldn't we allow retail, dining and public activities to take over our the street level? What if we created a new network of social traffic above the street level - connecting friends, families and activities. This physical, very tactile connection combats the virtual space we find ourselves in today. Can we formalize the informal social networks we create?","Delaney Inamine, Delaney Inamine, Delaney Inamine, Delaney Inamine, Delaney Inamine, Delaney Inamine, Delaney Inamine, Delaney Inamine",,,,,"The infrastructure allows for different patterns of development based on many factors: The needs of inhabitants The need for community space, similar to parks The need for shade or light The need for an extension of an apartment The need for commercial or dining space etc. The process of building and deciding what is important to the community is as important as the end result. The nature of this project is ever-changing to fit the needs of the ever-changing inhabitants between the buildings.",,,,,,,,,,,,
INTERACTIVE MEDIA SCULPTURE THE CUBE,2019,"Ukraine, Kyiv",The first massive media sculpture in Ukraine and Europe that are show the invisible rhythm of the city on its screen using digital content,"['#Ukraine', '#2019', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/301/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/301,Saga Development,,"Mykola Kabluka, Ukraine","Expolight, Ukraine","Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",,LED screens,,,,"Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Ivan Avdeenko, Savchenko Yevhenii, Melnikov Oleh",,,,,,,,,,Saga Development,,,,,,,
LIGHTING FOR THE TETRIS HALL RESIDENTIAL COMPLEX,2019,"Ukraine, Kyiv",Media facades working as one system,"['#Ukraine', '#2019', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/302/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/302,KAN Development,A. Pashenko Architects,"Mykola Kabluka, Ukraine",,"Mykola Kabluka, Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine","Expolight, Ukraine",,,,,,"Oleh Stelmakh, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh, Savchenko Yevhenii, Melnikov Oleh",,,,,,,,,,KAN Development,,,,,,,
